Key,en,ja,reviewed
MainMenu.Editor.Export,Export Emote,エモートを書き出し,True
LicensePopup.ThirdPartyLicense.Notice,License provided by the model creator. Displayed for reference only and does not represent the EmoteLab developer’s views or legal position. ,ライセンスはモデル制作者が提供したものです。参考情報として表示されており、EmoteLab開発者の見解や法的立場を示すものではありません。,False
LicensePopup.ThirdPartyLicense.NotFound,"The creator of this third-party model has not provided a license or usage terms with the model. Before using this model in public, commercial, or professional contexts, you should confirm the permitted scope of use directly with the model's creator.",ライセンスが見つかりません。使用許可は制作者に確認してください。,False
LicensePopup.Close,Close,閉じる,True
MainMenu.Editor.OpenExportFolder,Open Export Folder,書き出しフォルダを開く,True
MainMenu.Settings.ModelSettings.LoadSampleCharacters,Load Sample Characters for Built-in Models,組み込みモデルのサンプルキャラクターを読み込む,True
MainMenu.Settings.ModelSettings,Model Settings,モデル設定,True
MainMenu.Editor.CharacterPopup.SavingCharacter,Saving Character Data...,キャラクターデータを保存中…,True
MainMenu.Editor.CharacterPopup.LoadingCharacter,Loading Character...,キャラクターを読み込み中…,True
MainMenu.Info.ThirdPartyLicense,Third Party Licenses,外部ライセンス,True
MainMenu.Info.EmoteLabEULA,End User License Agreement (EULA),エンドユーザーライセンス契約（EULA）,True
MainMenu.Info.Documentation,Documentation,ドキュメント,True
MainMenu.Info.Discord,Join Our Discord,Discordに参加,True
MainMenu.Settings.ExportSettings.PresetsInfo,"This preset sets the correct format and dimensions. Very long animations may exceed platform file size limits, and some platforms restrict certain content.",このプリセットは適切な形式とサイズを設定します。非常に長いアニメーションはプラットフォームのファイルサイズ制限を超える場合があります。また、一部のプラットフォームでは特定のコンテンツが制限される場合があります。,True
MainMenu.Settings.ModelSettings.OpenLocalModelFolder,Open Local Model Folder,ローカルモデルフォルダを開く,True
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,キャラクターフォルダを開く,True
MainMenu.Info.Log,Open Log Folder,ログフォルダを開く,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,グローバルカラーテーブルを使用,True
MainMenu.Editor.ExportStatic,Export Static Image,静止画像を書き出し,True
MainMenu.Editor.Player.Speed,Speed,速度,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,静止画設定,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,静止画設定をリセット,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,サンプリングレート,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,この操作で初期テクスチャとカスタムテクスチャを切り替えられます,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Custom Textureフォルダ内のPNGを編集してください。透過状態で保存し、画像サイズは変更しないでください,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.",編集を保存した後、このボタンを押すとモデルに変更が適用されます,True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,キャラクターを保存してください。保存ボタンは画面左側のキャラクターリストの下にあります,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,この機能を使用する前に「カスタムテクスチャの使用」マニュアルを確認してください,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,カスタムテクスチャ,True
MainMenu.Editor.Texture.Step1,Step 1,ステップ1,True
MainMenu.Editor.Texture.Step2,Step 2,ステップ2,True
MainMenu.Editor.Texture.Step3,Step 3,ステップ3,True
MainMenu.Editor.Texture.Step4,Step 4,ステップ4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,選択した輪郭を修正,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,選択したアトラスをリセット,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,テクスチャツール,True
MainMenu.Editor.Texture.SelectAll,Select All,すべて選択,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,選択を切り替え,True
MainMenu.Editor.Texture.AtlasList,Atlas List,アトラス一覧,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,選択したアトラスページを初期状態にリセットします。未保存の編集は失われ、復元できません。続行しますか？,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,パレットアルゴリズム,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,これにより、選択したテクスチャ ファイルが上書きされ、元に戻すことはできません。続く？,False
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our <link=""https://github.com/GlycoProduction/EmoteLab-localization/graphs/contributors"">community contributors on GitHub</link>.

Want to contribute? Join us on <link=""https://discord.gg/Xt8dAV8YF7"">Discord</link>.","一部の言語はコミュニティによって翻訳されているか、機械翻訳によって翻訳されているため、品質が異なる場合があります。

言語は設定で変更できます。

<link=""https://github.com/GlycoProduction/EmoteLab-localization/graphs/contributors"">GitHub のコミュニティ貢献者</link>をご覧ください。

貢献したいですか？ <link=""https://discord.gg/Xt8dAV8YF7"">Discord</link> に参加してください。",False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,これを二度と表示しないでください,False
MainMenu.Editor.AssetTypeWS,Workshop,ワークショップ,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,モデルをワークショップに公開する,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,キャラクターをワークショップに公開する,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,アップロードモード,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,新しいアイテムを作成する,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,既存のアイテムを更新する,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,更新する項目,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,タイトル,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,説明,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,可視性,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,公共,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,友達限定,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,プライベート,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,非上場,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,変更メモ,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),必須項目 (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),プレビュー画像 (PNG/JPG パス),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,公開,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,キャンセル,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(読み込み中...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(掲載アイテムはありません),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(スチームの準備ができていません),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Steam メタデータを待っています...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,更新する公開済みのワークショップ アイテムを選択します。,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,タイトルは必須です。,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,公開する前にプレビュー画像を修正してください。,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,ワークショップアイテムを作成中...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,ワークショップアイテムをアップロードしています...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,プレビュー画像ファイルが見つかりません。,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.",プレビュー画像は PNG、JPG、または GIF である必要があります。,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,プレビュー画像は 1 MB 以下である必要があります (現在は {0} KB)。,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},プレビュー画像の読み取りに失敗しました: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,プレビュー画像をデコードできませんでした。,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},必須の PublishedFileId が無効です: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,Steamが初期化されていません。,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},ワークショップ アイテムがアップロードされました: {0},False
