Key,en,pt-br,reviewed
MainMenu.Settings.ModelSettings.OpenCharacterFolder,Open Character Folder,Abrir Pasta de Personagens,True
MainMenu.Info.Log,Open Log Folder,Abrir Pasta Logs,True
MainMenu.Settings.ExportSettings.UsingGlobalColorTable,Using Global Color Table,Usar Tabela Global de Cores,True
MainMenu.Editor.ExportStatic,Export Static Image,Exportar Imagem Estática,True
MainMenu.Editor.Player.Speed,Speed,Velocidade,True
MainMenu.Settings.StaticImageSettings,Static Image Settings,Opções de Imagem Estática,True
MainMenu.Settings.StaticImageSettings.ResetStaticImageSettings,Reset Static Image Settings,Resetar Opções de Imagem Estática,True
MainMenu.Settings.ExportSettings.SamplingRate,Sampling Rate,Taxa de Amostragem,True
MainMenu.Editor.Texture.Step1Instr,This toggle allows you to switch between the internal and the custom texture,Essa opção permite você mudar entre texturas internas e customizadas,True
MainMenu.Editor.Texture.Step2Instr,Edit the PNGs in the Custom Texture folder. Save with transparency and do not modify image size,Edite os PNGs na pasta de Texturas Customizadas. Salve com transparência e não modifique o tamanho da imagem ,True
MainMenu.Editor.Texture.Step3Instr,"After saving your edits, click this button to apply the chages to your model.","Após salvar suas alterações, clique nesse botão para aplicar as alterações no seu modelo.",True
MainMenu.Editor.Texture.Step4Instr,Save your character. The save button is located below the character list on the left side of the interface.,Salve seu personagem. O botão de salvar está localizado abaixo da lista de personagens no canto esquerdo da interface.,True
MainMenu.Editor.Texture.Recommend,Please read the Using Custom Textures manual before using this feature.,Por favor leia o manual de Customização de Texturas antes de usar essa opção.,True
MainMenu.Editor.Texture.CustomTexture,Custom Texture,Texturas Customizadas,True
MainMenu.Editor.Texture.Step1,Step 1,Etapa 1,True
MainMenu.Editor.Texture.Step2,Step 2,Etapa 2,True
MainMenu.Editor.Texture.Step3,Step 3,Etapa 3,True
MainMenu.Editor.Texture.Step4,Step 4,Etapa 4,True
MainMenu.Editor.Texture.AlphaBleed,Fix Selected Outline,Corrigir Outline Selecionada,True
MainMenu.Editor.Texture.ResetAtlas,Reset Selected Atlas,Resetar Atlas Selecionada,True
MainMenu.Editor.Texture.TextureUtility,Texture Utility,Utilitários de Textura,True
MainMenu.Editor.Texture.SelectAll,Select All,Selecionar Todos,True
MainMenu.Editor.Texture.ToggleSelection,Toggle Selection,Ativar Seleção,True
MainMenu.Editor.Texture.AtlasList,Atlas List,Lista de Atlas,True
MainMenu.Editor.Texture.ResetWarning,This will reset the selected atlas pages to the built-in versions. Any unsaved edits will be lost and cannot be recovered. Continue?,Isso irá resetar as páginas do atlas selecionadas para as versões pré-criadas. Qualquer alteração não salva será perdida e não poderá ser recuperada. Continuar?,True
MainMenu.Settings.ExportSettings.PaletteAlgorithm,Palette Algorithm,Algoritmo de Paleta,True
MainMenu.Editor.Texture.AlphaBleedWarning,This will overwrite the selected texture files and cannot be undone. Continue?,Isso irá sobrescrever os arquivos de textura e não poderá ser desfeito. Continuar?,True
MainMenu.TranslationInfo.Message,"Some languages are translated by our community or assisted by machine translation, so quality may vary.

You can change the language in Settings.

See our <link=""https://github.com/GlycoProduction/EmoteLab-localization/graphs/contributors"">community contributors on GitHub</link>.

Want to contribute? Join us on <link=""https://discord.gg/Xt8dAV8YF7"">Discord</link>.","Alguns idiomas são traduzidos pela nossa comunidade ou assistidos por tradução automática, portanto a qualidade pode variar.

Você pode alterar o idioma em Configurações.

Veja nossos <link=""https://github.com/GlycoProduction/EmoteLab-localization/graphs/contributors"">colaboradores da comunidade no GitHub</link>.

Quer contribuir? Junte-se a nós no <link=""https://discord.gg/Xt8dAV8YF7"">Discord</link>.",False
MainMenu.TranslationInfo.DontShowAgain,Don't show this again,Não mostre isso de novo,False
MainMenu.Editor.AssetTypeWS,Workshop,Oficina,False
MainMenu.Editor.WorkshopPublishPopup.Title.Model,Publish Model to Workshop,Publicar modelo no workshop,False
MainMenu.Editor.WorkshopPublishPopup.Title.Character,Publish Character to Workshop,Publicar personagem no workshop,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode,Upload mode,Modo de upload,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.CreateNew,Create new item,Criar novo item,False
MainMenu.Editor.WorkshopPublishPopup.UploadMode.UpdateExisting,Update existing item,Atualizar item existente,False
MainMenu.Editor.WorkshopPublishPopup.ItemtoUpdate,Item to update,Item a ser atualizado,False
MainMenu.Editor.WorkshopPublishPopup.Field.Title,Title,Título,False
MainMenu.Editor.WorkshopPublishPopup.Field.Description,Description,Descrição,False
MainMenu.Editor.WorkshopPublishPopup.Field.Visibility,Visibility,Visibilidade,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Public,Public,Público,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.FriendsOnly,Friends Only,Apenas amigos,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Private,Private,Privado,False
MainMenu.Editor.WorkshopPublishPopup.Visibility.Unlisted,Unlisted,Não listado,False
MainMenu.Editor.WorkshopPublishPopup.Field.ChangeNote,Change note,Alterar nota,False
MainMenu.Editor.WorkshopPublishPopup.Field.RequiredItems,Required Items (PublishedFileIds),Itens obrigatórios (PublishedFileIds),False
MainMenu.Editor.WorkshopPublishPopup.Field.PreviewImagePath,Preview image (PNG/JPG path),Imagem de visualização (caminho PNG/JPG),False
MainMenu.Editor.WorkshopPublishPopup.Button.Publish,Publish,Publicar,False
MainMenu.Editor.WorkshopPublishPopup.Button.Cancel,Cancel,Cancelar,False
MainMenu.Editor.WorkshopPublishPopup.Picker.Loading,(loading...),(carregando...),False
MainMenu.Editor.WorkshopPublishPopup.Picker.NoPublishedItems,(no published items),(sem itens publicados),False
MainMenu.Editor.WorkshopPublishPopup.Picker.SteamNotReady,(Steam not ready),(Vapor não está pronto),False
MainMenu.Editor.WorkshopPublishPopup.Status.WaitingForSteamMetadata,Waiting for Steam metadata...,Aguardando metadados do Steam...,False
MainMenu.Editor.WorkshopPublishPopup.Status.SelectItemToUpdate,Select a published Workshop item to update.,Selecione um item publicado do Workshop para atualizar.,False
MainMenu.Editor.WorkshopPublishPopup.Status.TitleRequired,Title is required.,O título é obrigatório.,False
MainMenu.Editor.WorkshopPublishPopup.Status.FixPreviewBeforePublishing,Fix the preview image before publishing.,Corrija a imagem de visualização antes de publicar.,False
MainMenu.Editor.WorkshopPublishPopup.Status.CreatingItem,Creating Workshop item...,Criando item da Oficina...,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadingItem,Uploading Workshop item...,Carregando item da Oficina...,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewNotFound,Preview image file not found.,Arquivo de imagem de visualização não encontrado.,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewInvalidFormat,"Preview image must be a PNG, JPG, or GIF.","A imagem de visualização deve ser PNG, JPG ou GIF.",False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewTooLarge,Preview image must be 1 MB or smaller (currently {0} KB).,A imagem de visualização deve ter 1 MB ou menos (atualmente {0} KB).,False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewReadFailed,Failed to read preview image: {0},Falha ao ler a imagem de visualização: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.PreviewDecodeFailed,Preview image could not be decoded.,A imagem de visualização não pôde ser decodificada.,False
MainMenu.Editor.WorkshopPublishPopup.Status.RequiredIdInvalid,Required PublishedFileId is invalid: {0},Required PublishedFileId is invalid: {0},False
MainMenu.Editor.WorkshopPublishPopup.Status.SteamNotInitialized,Steam is not initialized.,O Steam não foi inicializado.,False
MainMenu.Editor.WorkshopPublishPopup.Status.UploadSucceeded,Workshop item uploaded: {0},Item da oficina enviado: {0},False
